role_id,title,description
EKSDeveloper,EKS Developer,Allows developers to create and manage Kubernetes clusters with Amazon EKS.
ContainerDeveloper3,Container Developer,Enables developers to create and manage containerized applications on DownUnder Cloud Services.
EKSAdministrator,EKS Administrator,Grants full access to manage Kubernetes clusters with Amazon EKS.
DOCObjectStorageDeveloper,DigitalOcean Object Storage Developer,Enables developers to build and manage object storage on DigitalOcean.
CloudMachineLearningDeveloper,Cloud Machine Learning Developer,Enables developers to build and deploy machine learning models on the cloud platform.
DataFlowDeveloper,DataFlow Developer,Allows developers to create and manage data pipelines with DataFlow.
DTSOperator,Data Transmission Service Operator,Allows managing and operating Alibaba Cloud Data Transmission Service (DTS) for data migration and synchronization.
AppServicePlanAdmin,Azure App Service Plan Administrator,Grants full access to manage and configure Azure App Service Plans.
AzureMapsDeveloper,Azure Maps Developer,Allows developers to integrate and manage Azure Maps services.
CloudMeteringAnalyst,Cloud Metering Analyst,Provides access to analyze and report on cloud usage and metering on Oracle Cloud and DigitalOcean.
ContainerServiceDeveloper,Container Service Developer,Enables developers to create and manage containerized applications with Alibaba Cloud Container Service for Kubernetes (ACK).
MessageQueueDeveloper,Message Queue Developer,Enables developers to build and manage message queues on DownUnder Cloud Services.
ADAppDeveloper,Azure AD App Developer,Enables developers to build and manage applications integrated with Azure Active Directory.
ManagedKubernetesDeveloper,Managed Kubernetes Developer,Allows developers to build and manage managed Kubernetes clusters on DownUnder Cloud Services.
CloudBudgetManager,Cloud Budget Manager,Enables managing and optimizing cloud budgets and expenses on DownUnder Cloud Services.
CloudVideoIntelligenceAnalyst,Cloud Video Intelligence Analyst,Provides access to analyze and process videos using Cloud Video Intelligence API.
CloudBuildViewer,Cloud Build Viewer,Allows read access to view Cloud Build projects and build details.
MachineLearningSpecialist,Machine Learning Specialist,Allows access to advanced machine learning services and models on the cloud.
WorkDocsAdmin,WorkDocs Administrator,Provides full access to manage and configure Amazon WorkDocs resources.
RedshiftAdmin,Redshift Administrator,Grants full access to manage and configure Amazon Redshift clusters.
AzureStreamAnalyticsAdmin,Azure Stream Analytics Administrator,Provides full access to manage and configure Azure Stream Analytics jobs.
BackupOperator,Backup Operator,Enables managing and operating AWS Backup for data protection.
